 24 -1.3862943611198906 {da7aa0eafa0af8fe09f370a1e502767c,13fdecdd67908944914f0dc7655cb079,a94d0a41a0726663b117bf2886aada34,c50a7d7e8aee842c8290f4443c45c2a5,4a554b88320fe60ec46ef9d8b407a94e,776c949bbe02abc97b887f3cd921ec91,}
s 20 -0.6931471805599453 {8468b93222067154f790478b24dd614b,de651deb380cec460a13d2d454d5e452,b23dc44babe2734d1f7e7a698d83e594,d8e8ef2e1f1b7af67aa79bec9924fbfe,efa3299b77b23f2d3a8ac18a03df23fe,3ed9900e88649c37a08dc45d6fcd2f4f,dc3d447a576147a470a56b3018b8effd,776c949bbe02abc97b887f3cd921ec91,62cf689a8c9ed705ff1b34023a75c18b,f586fbc827d29c29fa1811c888cda09f,}
sacking 2 -0.6931471805599453 {a94d0a41a0726663b117bf2886aada34,}
ti 2 -0.6931471805599453 {175ad5dd653e3127d236b4c71555db72,}
appoint 2 -0.6931471805599453 {4040672786e30bfe43f206db72bcb446,}
polic 2 -0.6931471805599453 {2097ba3ba0c3df5925a55c06667b6ee5,}
paul 4 -0.6931471805599453 {efa3299b77b23f2d3a8ac18a03df23fe,776c949bbe02abc97b887f3cd921ec91,}
outfought 2 -0.6931471805599453 {752b8542402a0106a24dd1bc36946a0a,}
stak 2 -0.6931471805599453 {00ccc065c065fcf583880a46e2603891,}
spider 2 -0.6931471805599453 {26b9b1544474525e7de17688d2237802,}
anniversary 2 -0.6931471805599453 {a6dfc4b5afc3f7e7b64720e7c4f26752,}
london 2 -0.6931471805599453 {a6dfc4b5afc3f7e7b64720e7c4f26752,}
agbonlahor 2 -0.6931471805599453 {b2c2b6f7e5f387f2c3c58c1442dbeec1,}
added 2 -0.6931471805599453 {80018d3988d37a96375d6f620ad68bf1,}
jürgen 2 -0.6931471805599453 {dc3d447a576147a470a56b3018b8effd,}
rul 2 -0.6931471805599453 {62cf689a8c9ed705ff1b34023a75c18b,}
ford 2 -0.6931471805599453 {f586fbc827d29c29fa1811c888cda09f,}
good 2 -0.6931471805599453 {8468b93222067154f790478b24dd614b,}
gareth 2 -0.6931471805599453 {21864981a37c6664e201f47d4d1a702b,}
hold 2 -0.6931471805599453 {f586fbc827d29c29fa1811c888cda09f,}
lin 2 -0.6931471805599453 {27a12ebcebacaa2521aa38c3db8244f5,}
gary 2 -0.6931471805599453 {b23dc44babe2734d1f7e7a698d83e594,}
kevin 2 -0.6931471805599453 {a65e7cc47deef437b5a488ca23b94514,}
pac 2 -0.6931471805599453 {c2a6c54a31681cfd555897e0e6f5916e,}
adding 2 -0.6931471805599453 {7e86c9d1ac1541f48e32ce2ddc81392c,}
club 4 -0.6931471805599453 {de651deb380cec460a13d2d454d5e452,27a12ebcebacaa2521aa38c3db8244f5,}
up 2 -0.6931471805599453 {f1eda0d27ff74a7258b73700f9120f94,}
rem 2 -0.6931471805599453 {b2c2b6f7e5f387f2c3c58c1442dbeec1,}
passion 2 -0.6931471805599453 {dc3d447a576147a470a56b3018b8effd,}
unusual 2 -0.6931471805599453 {dc3d447a576147a470a56b3018b8effd,}
georg 2 -0.6931471805599453 {f586fbc827d29c29fa1811c888cda09f,}
